title,access,price,link
Laptop Apple MacBook Air 13 M1/8GB/512/Mac OS Silver (MGNA3ZE/A),Dostepny,6227.4,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-512-mac-os-silver-mgna3ze-a-7681776/
Laptop Apple MacBook Air 13 M1/8GB/512/Mac OS Gold (MGNE3ZE/A),Dostepny,6097.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-512-mac-os-gold-mgne3ze-a-5945380/
Laptop Apple MacBook Air 13 M1 (MGND3ZE/A),Dostepny,5303.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgnd3ze-a-5945383/
Laptop Apple MacBook Air 13 M1 (MGN93ZE/A),Dostepny,7189.99,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgn93ze-a-5945384/
Laptop Apple MacBook Air 13 M1 (MGN63ZE/A),Dostepny,5099.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgn63ze-a-5945385/
Laptop Apple MacBook Air 13 M1/8GB/512GB/Mac OS Space Grey (MGN73ZE/A),Dostepny,5949.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-512gb-mac-os-space-grey-mgn73ze-a-5945382/
Laptop Apple MacBook Air 13 M1/8GB/1TB/Mac OS Gold (MGNE3ZE/A/D1),Dostepny,8199.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-1tb-mac-os-gold-mgne3ze-a-d1-7701620/
Laptop Apple MacBook Air 13 M1/8GB/1TB/Mac OS Silver (MGNA3ZE/A/D1),Dostepny,8199.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-1tb-mac-os-silver-mgna3ze-a-d1-7701615/
Laptop Apple MacBook Air 13 M1/8GB/1TB/Mac OS Space Grey (MGN73ZE/A/D1),Dostepny,8199.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-1tb-mac-os-space-grey-mgn73ze-a-d1-7701610/
Laptop Apple MacBook Air 13 M1/8GB/2TB/Mac OS Space Grey (MGN73ZE/A/D2),Dostepny,9999.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-2tb-mac-os-space-grey-mgn73ze-a-d2-7701611/
